Date,Raid,Boss,Loot,Player,Loot Category,How Decided,Loot Number
4/18/2020,BWL,Broodlord,Heartstriker,Wezey,,Roll,448
4/18/2020,BWL,Firemaw,Bloodfang Gloves,Wezey,T2,Loot Council,449
4/18/2020,BWL,Firemaw,Firemaw's Clutch,Suthernheals,,Loot Council,450
4/18/2020,BWL,Ebonroc,Ebony Flame Gloves,Nopa,Big Loot,Loot Council,451
4/18/2020,BWL,Ebonroc,Rejuvenating Gem,Atloy,Big Loot,Loot Council,452
4/18/2020,BWL,Flamegor,Gauntlets of Ten Storms,Kau,T2,Loot Council,453
4/18/2020,BWL,Flamegor,Dragon's Touch,Clarota,,Roll,454
4/18/2020,BWL,Chromaggus,Bloodfang Spaulders,Wezey,T2,Loot Council,455
4/18/2020,BWL,Chromaggus,Pauldrons of Transcendence,Izeliaog,T2,Loot Council,456
4/18/2020,BWL,Chromaggus,Taut Dragonhide Gloves,,,DE,457
4/18/2020,BWL,Chromaggus,Elementium Reinforced Bulwark,Sambro,Big Loot,Loot Council,458
4/18/2020,BWL,Nefarian,Netherwind Robes,Blaw,T2,Roll,459
4/18/2020,BWL,Nefarian,Dragonstalker's Breastplate,Surakar,T2,Loot Council,460
4/18/2020,BWL,Nefarian,Archimtros Ring of Reckoning,Ferv,,Roll,461
4/18/2020,BWL,Nefarian,Ashkandi,Likedaboss,Big Loot,Roll,462
4/18/2020,BWL,Nefarian,Head of Nefarian,Zquirlz,,Loot Council,463
4/18/2020,MC,Lucifron,Felheart Gloves,,T1,DE,464
4/18/2020,MC,Lucifron,Arcanist Boots,Blaw,T1,Loot Council,465
4/18/2020,MC,Magmadar,Earthfury Legguards,Nidria,T1,Loot Council,466
4/18/2020,MC,Magmadar,Arcanist Leggings,Oneblindman,T1,Roll,467
4/18/2020,MC,Magmadar,Deep Earth Spaulders,Nidria,,Roll,468
4/18/2020,MC,Gehennas,Nightslayer Gloves,Greenbastrd,T1,Loot Council,469
4/18/2020,MC,Gehennas,Heavy Dark Iron Ring,Atloy,,Roll,470
4/18/2020,MC,Garr,Nightslayer Cover,,T1,DE,471
4/18/2020,MC,Garr,Earthfury Helmet,,T1,DE,472
4/18/2020,MC,Garr,Brutality Blade,Wezey,,Loot Council,473
4/18/2020,MC,Baron Geddon,Earthfury Epaulets,,T1,DE,474
4/18/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,475
4/18/2020,MC,Shazzrah,Giantstalker's Gloves,Orgeth,T1,Loot Council,476
4/18/2020,MC,Shazzrah,Boots of Prophecy,Stokington,T1,Loot Council,477
4/18/2020,MC,Sulfuron,Pauldrons of Might,Getlonely,,Roll,478
4/18/2020,MC,Sulfuron,Shadowstrike,Getlonely,,Roll,479
4/18/2020,MC,Golemagg,Arcanist Robes,,T1,DE,480
4/18/2020,MC,Golemagg,Earthfury Vestments,Nidria,T1,Loot Council,481
4/18/2020,MC,Golemagg,Staff of Dominance,Kreation,,Loot Council,482
4/18/2020,MC,Majordomo,Wristguards of True Flight,Zquirlz,,Loot Council,483
4/18/2020,MC,Majordomo,Gloves of the Hypnotic Flame,Blaw,,Roll,484
4/18/2020,MC,Majordomo,The Eye of Divinity,Stokington,,Loot Council,485
4/18/2020,MC,Ragnaros,Netherwind Pants,Oneblindman,T2,Loot Council,486
4/18/2020,MC,Ragnaros,Legplates of Ten Storms,Fiveredstars,T2,Loot Council,487
4/18/2020,MC,Ragnaros,Band of Sulfuras,Fiveredstars,,Roll,488
4/18/2020,MC,Ragnaros,Malistar's Defender,Kau,,Loot Council,489
4/18/2020,MC,Trash,Belt of Might,,,Guild Bank,490
4/18/2020,MC,Trash,Felheart Belt,,,Guild Bank,491
4/19/2020,Onyxia,Onyxia,Dragonstalker's Helm,Orgeth,T2,Loot Council,492
4/19/2020,Onyxia,Onyxia,Bloodfang Hood,Wezey,T2,Loot Council,493
4/19/2020,Onyxia,Onyxia,Vis'kag,Bigteddy,,Loot Council,494
4/19/2020,Onyxia,Onyxia,Ancient Cornerstone Grimoire,Vio,,Roll,495
4/19/2020,Onyxia,Onyxia,Head of Onyxia,Wasian,,Roll,496
4/25/2020,BWL,Razorgore,Netherwind Bindings,Aoegrinder,T2,Roll,497
4/25/2020,BWL,Razorgore,Bloodang Bracers,Greenbastrd,T2,Loot Council,498
4/25/2020,BWL,Razorgore,The Black Book,,,DE,499
4/25/2020,BWL,Vaelastraz,Waistband of Wrath,Sambro,T2,Loot Council,500
4/25/2020,BWL,Vaelastraz,Stormrage Belt,Tombrocow,T2,Loot Council,501
4/25/2020,BWL,Vaelastraz,Helm of Endless Rage,Likedaboss,,Roll,502
4/25/2020,BWL,Broodlord,Nemesis Boots,,T2,DE,503
4/25/2020,BWL,Broodlord,Boots of Transcendence,,T2,Loot Council,504
4/25/2020,BWL,Broodlord,Black Brood Pauldrons,Surakar,,Roll,505
4/25/2020,BWL,Firemaw,Primalist's Linked Legguards,Nidria,,Roll,506
4/25/2020,BWL,Firemaw,Drake Talon Cleaver,Likedaboss,,Roll,507
4/25/2020,BWL,Ebonroc,Netherwind Gloves,Ellzik,T2,Loot Council,508
4/25/2020,BWL,Ebonroc,Aegis of Preservation,Stokington,,Roll,509
4/25/2020,BWL,Flamegor,Gauntlets of Wrath,Bwcstroker,,Roll,510
4/25/2020,BWL,Flamegor,Circle of Applied Force,Vaeviktis,,Loot Council,511
4/25/2020,BWL,Chromaggus,Dragonstalker's Spaulders,Surakar,T2,Loot Council,512
4/25/2020,BWL,Chromaggus,Bloodfang Spaulders,Ferv,T2,Loot Council,513
4/25/2020,BWL,Chromaggus,Taut Dragonhide Gloves,Mke,,Loot Council,514
4/25/2020,BWL,Chromaggus,Chromatic Boots,Bwcstroker,Big Loot,Loot Council,515
4/25/2020,BWL,Nefarian,Bloodfang Chestpiece,Zl,T2,Loot Council,516
4/25/2020,BWL,Nefarian,Stormrage Chestguard,Mke,T2,Loot Council,517
4/25/2020,BWL,Nefarian,Staff of Shadow Flame,Nopa,Big Loot,Loot Council,518
4/25/2020,BWL,Nefarian,Lok'amir,Mnite,Big Loot,Loot Council,519
4/25/2020,BWL,Nefarian,Head of Nefarian,Mke,,Loot Council,520
4/25/2020,BWL,Trash,Essence Gatherer,Izeliaog,,Loot Council,521
4/25/2020,MC,Lucifron,Arcanist Boots,Carstiendook,T1,Loot Council,522
4/25/2020,MC,Lucifron,Helm of the Lifegiver,Kau,,Loot Council,523
4/25/2020,MC,Magmadar,Pants of Prophecy,Vodkas,T1,Loot Council,524
4/25/2020,MC,Magmadar,Medallion of Steadfast Might,Bigswar,,Roll,525
4/25/2020,MC,Magmadar,Mana Igniting Cord,Aoegrinder,Big Loot,Loot Council,526
4/25/2020,MC,Gehennas,Giantstalker's Boots,Orgeth,T1,Loot Council,527
4/25/2020,MC,Gehennas,Nightslayer Gloves,Wezey,T1,Loot Council,528
4/25/2020,MC,Garr,Earthfury Helmet,,T1,DE,529
4/25/2020,MC,Garr,Aurastone Hammer,Nidria,,Loot Council,530
4/25/2020,MC,Garr,Gutgore Ripper,Bigteddy,,Roll,531
4/25/2020,MC,Baron Geddon,Arcanist Mantle,Carstiendook,T1,Loot Council,532
4/25/2020,MC,Baron Geddon,Earthfury Epaulets,,T1,DE,533
4/25/2020,MC,Shazzrah,Arcanist Gloves,Blaw,T1,Roll,534
4/25/2020,MC,Shazzrah,Nightslayer Boots,Wezey,T1,Loot Council,535
4/25/2020,MC,Sulfuron,Giantstalker's Epaulets,Orgeth,T1,Loot Council,536
4/25/2020,MC,Sulfuron,Heavy Dark Iron Ring,Mke,,Loot Council,537
4/25/2020,MC,Golemagg,Breastplate of Might,Bigswar,T1,Roll,538
4/25/2020,MC,Golemagg,Felheart Robes,,T1,DE,539
4/25/2020,MC,Golemagg,Azuresong Mageblade,Aoegrinder,,Loot Council,540
4/25/2020,MC,Majordomo,Gloves of the Hypnotic Flame,Wasian,,Roll,541
4/25/2020,MC,Majordomo,Sash of Whispered Secrets,Theymademedo,,Roll,542
4/25/2020,MC,Majordomo,The Eye of Divinity,,,DE,543
4/25/2020,MC,Ragnaros,Netherwind Pants,Blaw,T2,Loot Council,544
4/25/2020,MC,Ragnaros,Leggings of Transcendence,Stokington,T2,Loot Council,545
4/25/2020,MC,Ragnaros,Dragon's Blood Cape,Vio,,Roll,546
4/25/2020,MC,Ragnaros,Choker of the Fire Lord,Wasian,Big Loot,Loot Council,547
4/25/2020,MC,Trash,Belt of Might,,,Guild Bank,548
4/25/2020,MC,Trash,Earthfury Bracers,,,Guild Bank,549
4/25/2020,MC,Trash,Earthfury Bracers,,,Guild Bank,550
4/25/2020,Onyxia,Onyxia,Helmet of Ten Storms,,T2,DE,551
4/25/2020,Onyxia,Onyxia,Hem of Wrath,Bwcstroker,T2,Roll,552
4/25/2020,Onyxia,Onyxia,Ring of Binding,Vio,,Roll,553
4/25/2020,Onyxia,Onyxia,Head of Onyxia,Wezey,,Loot Council,554
5/2/2020,BWL,Razorgore,Dragonstalker's Bracers,Ffxivsux,T2,Loot Council,555
5/2/2020,BWL,Razorgore,Bindings of Transcendence,Clarota,T2,Loot Council,556
5/2/2020,BWL,Razorgore,The Black Book,Theymademedo,,Roll,557
5/2/2020,BWL,Vaelastraz,Waistband of Wrath,Zquirlz,T2,Loot Council,558
5/2/2020,BWL,Vaelastraz,Stormrage Belt,,T2,DE,559
5/2/2020,BWL,Vaelastraz,Helm of Endless Rage,Chadwell,,Roll,560
5/2/2020,BWL,Broodlord,Dragonstalker's Greaves,Orgeth,T2,Loot Council,561
5/2/2020,BWL,Broodlord,Dragonstalker's Greaves,,T2,DE,562
5/2/2020,BWL,Broodlord,Venomous Totem,Vio,,Roll,563
5/2/2020,BWL,Firemaw,Nemesis Gloves,Nopa,,Roll,564
5/2/2020,BWL,Firemaw,Primalist's Linked Legguards,Primalist's Linked Legguards,,Roll,565
5/2/2020,BWL,Ebonroc,Netherwind Gloves,Blaw,T2,Loot Council,566
5/2/2020,BWL,Ebonroc,Band of Forced Concentration,Kreation,Big Loot,Loot Council,567
5/2/2020,BWL,Flamegor,Rejuvenating Gem,Parnok,Big Loot,Loot Council,568
5/2/2020,BWL,Flamegor,Styleen's Impending Scarab,Zquirlz,,Loot Council,569
5/2/2020,BWL,Chromaggus,Pauldrons of Transcendence,Suthernheals,T2,Loot Council,570
5/2/2020,BWL,Chromaggus,Pauldrons of Transcendence,Scartissue,T2,Loot Council,571
5/2/2020,BWL,Chromaggus,Primalist's Linked Waistguard,,,Roll,572
5/2/2020,BWL,Chromaggus,Chromatic Boots,Likedaboss,Big Loot,Loot Council,573
5/2/2020,BWL,Nefarian,Breastplate of Wrath,Zquirlz,T2,Loot Council,574
5/2/2020,BWL,Nefarian,Bloodfang Chestpiece,Ferv,T2,Loot Council,575
5/2/2020,BWL,Nefarian,Staff of the Shadow Flame,Ellzik,Big Loot,Loot Council,576
5/2/2020,BWL,Nefarian,Crul'shorukh,Vaeviktis,Big Loot,Loot Council,577
5/2/2020,BWL,Nefarian,Head of Nefarian,Vorrosh,,Loot Council,578
5/2/2020,BWL,Trash,Ringo's Blizzard Boots,Oneblindman,,Loot Council,579
5/2/2020,Onyxia,Onyxia,Nemesis Skullcap,Angrysnape,T2,Loot Council,580
5/2/2020,Onyxia,Onyxia,Dragonstalker's Helm,Gaar,T2,Roll,581
5/2/2020,Onyxia,Onyxia,Ring of Binding,Likedaboss,,Roll,582
5/2/2020,Onyxia,Onyxia,Head of Onyxia,Orgeth,,Loot Council,583
5/3/2020,MC,Lucifron,Felheart Gloves,,T1,DE,584
5/3/2020,MC,Lucifron,Choker of Enlightenment,Carstiendook,,Roll,585
5/3/2020,MC,Magmadar,Felheart Pants,,T1,DE,586
5/3/2020,MC,Magmadar,Medallion of Steadfast Might,Bwcstroker,,Roll,587
5/3/2020,MC,Magmadar,Aged Core Leather Gloves,Zquirlz,Big Loot,Loot Council,588
5/3/2020,MC,Gehennas,Earthfury Gauntlets,,,DE,589
5/3/2020,MC,Gehennas,Wristguards of Stability,Bwcstroker,Big Loot,Loot Council,590
5/3/2020,MC,Garr,Giantstalker's Helment,,T1,DE,591
5/3/2020,MC,Garr,Gutgore Ripper,Zquirlz,,Loot Council,592
5/3/2020,MC,Garr,Mana Igniting Cord,Blaw,Big Loot,Loot Council,593
5/3/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,594
5/3/2020,MC,Baron Geddon,Fire Runed Grimoire,Carstiendook,,Roll,595
5/3/2020,MC,Shazzrah,Felheart Slippers,,T1,DE,596
5/3/2020,MC,Shazzrah,Giantstalker's Gloves,,T1,DE,597
5/3/2020,MC,Sulfuron,Manastorm Leggings,Kau,,Roll,598
5/3/2020,MC,Sulfuron,Giantstalker's Epaulets,,T1,DE,599
5/3/2020,MC,Golemagg,Felheart Robes,,T1,DE,600
5/3/2020,MC,Golemagg,Earthfury Vestments,,T1,DE,601
5/3/2020,MC,Golemagg,Blastershot Launcher,Mikassa,,Roll,602
5/3/2020,MC,Majordomo,Gloves of the Hypnotic Flame,Carstiendook,,Roll,603
5/3/2020,MC,Majordomo,Core Forged Greaves,Mikassa,,Roll,604
5/3/2020,MC,Majordomo,The Eye of Divinity,,,DE,605
5/3/2020,MC,Ragnaros,Stormrage Legguards,,T2,DE,606
5/3/2020,MC,Ragnaros,Leggings of Transcendence,Suthernheals,T2,Loot Council,607
5/3/2020,MC,Ragnaros,Crown of Destruction,Ffxivsux,,Roll,608
5/3/2020,MC,Ragnaros,Cloak of the Shrouded Mists,Orgeth,,Loot Council,609
5/3/2020,MC,Trash,Felheart Belt,,,Guild Bank,610
5/3/2020,MC,Trash,Giantstalker Belt,,T1,Guild Bank,611
5/3/2020,MC,Trash,Nightslayer Belt,Shivnaharcut,T1,Loot Council,612
5/3/2020,MC,Trash,Giantstalker Belt,,T1,Guild Bank,613
5/3/2020,MC,Trash,Belt of Might,,T1,Guild Bank,614
5/9/2020,BWL,Razorgore,Bracers of Ten Storms,Nidria,T2,Loot Council,615
5/9/2020,BWL,Razorgore,Stormrage Bracers,,T2,DE,616
5/9/2020,BWL,Razorgore,Mantle of the Blackwing Cabal,Scartissue,Big Loot,Loot Council,617
5/9/2020,BWL,Vaelastraz,Belt of Ten Storms,Nidria,T2,Loot Council,618
5/9/2020,BWL,Vaelastraz,Dragonstalker's Belt,Orgeth,T2,Loot Council,619
5/9/2020,BWL,Vaelastraz,Pendant of the Fallen Dragon,Mnite,,Loot Council,620
5/9/2020,BWL,Broodlord,Sabatons of Wrath,Sambro,T2,Loot Council,621
5/9/2020,BWL,Broodlord,Sabatons of Wrath,Chadwell,T2,Roll,622
5/9/2020,BWL,Broodlord,Black Brood Pauldrons,Orgeth,,Roll,623
5/9/2020,BWL,Firemaw,Bloodfang Gloves,Vio,T2,Roll,624
5/9/2020,BWL,Firemaw,Cloak of Firemaw,Zl,,Loot Council,625
5/9/2020,BWL,Ebonroc,Ebony Flame Gloves,Bankky,Big Loot,Loot Council,626
5/9/2020,BWL,Ebonroc,Shadow Wing Focus Staff,Carstiendook,,Roll,627
5/9/2020,BWL,Flamegor,Drake Talon Pauldrons,Bwcstroker,Big Loot,Loot Council,628
5/9/2020,BWL,Flamegor,Circle of Applied Force,Getlonely,,Loot Council,629
5/9/2020,BWL,Chromaggus,Epaulets of Ten Storms,Nidria,T2,Loot Council,630
5/9/2020,BWL,Chromaggus,Stormrage Pauldrons,Tombrocow,T2,Loot Council,631
5/9/2020,BWL,Chromaggus,Taut Dragonhide Shoulderpads,Getlonely,,Roll,632
5/9/2020,BWL,Chromaggus,Claw of Chromaggus,Fiveredstars,Big Loot,Loot Council,633
5/9/2020,BWL,Nefarian,Breastplate of Ten Storms,Kau,T2,Loot Council,634
5/9/2020,BWL,Nefarian,Bloodfang Chestpiece,Dylanger,T2,Loot Council,635
5/9/2020,BWL,Nefarian,Therazane's Link,Mnite,,Loot Council,636
5/9/2020,BWL,Nefarian,Lok'amir,Maulzy,Big Loot,Loot Council,637
5/9/2020,BWL,Nefarian,Head of Nefarian,Tombrocow,,Loot Council,638
5/9/2020,BWL,Trash,Essence Gatherer,Angrysnape,,Roll,639
5/9/2020,MC,Lucifron,Cenarion Boots,,T1,DE,640
5/9/2020,MC,Lucifron,Ring of Spell Power,Oneblindman,Big Loot,Loot Council,641
5/9/2020,MC,Magmadar,Giantstalker's Leggings,Orgeth,T1,Loot Council,642
5/9/2020,MC,Magmadar,Arcanist Leggings,Watr,T1,Roll,643
5/9/2020,MC,Magmadar,Obsidian Edged Blade,Getlonely,,Roll,644
5/9/2020,MC,Gehennas,Gloves of Prophecy,,T1,DE,645
5/9/2020,MC,Gehennas,Crimson Shocker,Watr,,Roll,646
5/9/2020,MC,Garr,Giantstalker;s Helmet,,T1,DE,647
5/9/2020,MC,Garr,Nightslayer Cover,Dylanger,T1,Loot Council,648
5/9/2020,MC,Garr,Brutality Blade,Orgeth,,Loot Council,649
5/9/2020,MC,Baron Geddon,Earthfury Epaulets,,T1,DE,650
5/9/2020,MC,Baron Geddon,Arcanist Mantle,Watr,T1,Roll,651
5/9/2020,MC,Shazzrah,Cenarion Gloves,,T1,DE,652
5/9/2020,MC,Shazzrah,Nightslayer Boots,,T1,DE,653
5/9/2020,MC,Sulfuron,Mantle of Prophecy,,T1,DE,654
5/9/2020,MC,Sulfuron,Sorcerous Dagger,Watr,,Loot Council,655
5/9/2020,MC,Golemagg,Arcanist Robes,Watr,T1,Loot Council,656
5/9/2020,MC,Golemagg,Earthfury Vestments,,T1,DE,657
5/9/2020,MC,Golemagg,Blastershot Launcher,Zquirlz,,Loot Council,658
5/9/2020,MC,Majordomo,Wristguards of True Flight,Nidria,,Roll,659
5/9/2020,MC,Majordomo,Core Hound Tooth,Vorrosh,,Loot Council,660
5/9/2020,MC,Majordomo,Ancient Petrified Leaf,,,DE,661
5/9/2020,MC,Ragnaros,Stormrage Legguards,Tombrocow,T2,Loot Council,662
5/9/2020,MC,Ragnaros,Bloodfang Pants,Dylanger,T2,Loot Council,663
5/9/2020,MC,Ragnaros,Dragon's Blood Cape,Chadwell,,Roll,664
5/9/2020,MC,Ragnaros,Essence of the Pure Flame,Tombrocow,,Loot Council,665
5/9/2020,MC,Trash,Girdle of Prophecy,,T1,Guild Bank,666
5/9/2020,MC,Trash,Nightslayer Belt,,T1,Guild Bank,667
5/9/2020,Onyxia,Onyxia,Nemesis Skullcap,,T2,DE,668
5/9/2020,Onyxia,Onyxia,Stormrage Cover,,T2,DE,669
5/9/2020,Onyxia,Onyxia,Eshkandar's Collar,Bwcstroker,,Roll,670
5/9/2020,Onyxia,Onyxia,Head of Onyxia,Atloy,,Roll,671
5/16/2020,BWL,Razorgore,Bloodfang Bracers,Dylanger,T2,Loot Council,672
5/16/2020,BWL,Razorgore,Nemesis Bracers,Nopa,T2,Roll,673
5/16/2020,BWL,Razorgore,Arcane Infused Gem,Orgeth,,Roll,674
5/16/2020,BWL,Vaelastraz,Belt of Transcendence,Vodkas,T2,Loot Council,675
5/16/2020,BWL,Vaelastraz,Netherwind Belt,Oneblindman,T2,Roll,676
5/16/2020,BWL,Vaelastraz,Rune of Metamorphosis,Atloy,,Roll,677
5/16/2020,BWL,Broodlord,Boots of Transcendence,Izeliaog,T2,Loot Council,678
5/16/2020,BWL,Broodlord,Boots of Transcendence,Scartissue,T2,Loot Council,679
5/16/2020,BWL,Broodlord,Bracers of Arcane Accuracy,Angrysnape,Big Loot,Loot Council,680
5/16/2020,BWL,Firemaw,Dragonstalker's Gauntlets,Vorrosh,T2,Loot Council,681
5/16/2020,BWL,Firemaw,Primalist's Linked Legguards,Fiveredstars,,Roll,682
5/16/2020,BWL,Ebonroc,Ebony Flame Gloves,Angrysnape,Big Loot,Loot Council,683
5/16/2020,BWL,Ebonroc,Taut Dragonhide Belt,Mke,,Loot Council,684
5/16/2020,BWL,Flamegor,Styleen's Impending Scarab,Vaeviktis,,Roll,685
5/16/2020,BWL,Flamegor,Ring of Blackrock,Kreation,,Loot Council,686
5/16/2020,BWL,Chromaggus,Pauldrons of Wrath,Zquirlz,T2,Loot Council,687
5/16/2020,BWL,Chromaggus,Pauldrons of Transcendence,Scartissue,T2,Loot Council,688
5/16/2020,BWL,Chromaggus,Chromatic Boots,Chadwell,Big Loot,Loot Council,689
5/16/2020,BWL,Chromaggus,Ashjre'thul,Vorrosh,Big Loot,Loot Council,690
5/16/2020,BWL,Nefarian,Nemesis Robes,Bankky,T2,Roll,691
5/16/2020,BWL,Nefarian,Robes of Transcendence,Izeliaog,T2,Roll,692
5/16/2020,BWL,Nefarian,Pure Elementium Band,Izeliaog,Big Loot,Loot Council,693
5/16/2020,BWL,Nefarian,Mish'undare,Aoegrinder,Big Loot,Loot Council,694
5/16/2020,BWL,Nefarian,Head of Nefarian,Ffxivsux,,Loot Council,695
5/16/2020,BWL,Trash,Boots of Pure Thought,Vodkas,Big Loot,Loot Council,696
5/16/2020,MC,Lucifron,Cenarion Boots,,T1,DE,697
5/16/2020,MC,Lucifron,Sorcerous Dagger,Puz,,Roll,698
5/16/2020,MC,Magmadar,Eshkandar's Right Claw,Getlonely,,Roll,699
5/16/2020,MC,Magmadar,Medallion of Steadfast Might,Getlonely,,Roll,700
5/16/2020,MC,Magmadar,Striker's Mark,Chadwell,Big Loot,Loot Council,701
5/16/2020,MC,Gehennas,Nightslayer Gloves,,T1,DE,702
5/16/2020,MC,Gehennas,Wristguards of Stability,Chadwell,Big Loot,Roll,703
5/16/2020,MC,Garr,Helm of Might,Sambro,T1,Loot Council,704
5/16/2020,MC,Garr,Arcanist Crown,Blaw,T1,Loot Council,705
5/16/2020,MC,Garr,Fire Runed Grimoire,Oneblindman,,Roll,706
5/16/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,707
5/16/2020,MC,Baron Geddon,Cenarion Spaulders,,T1,DE,708
5/16/2020,MC,Shazzrah,Robe of Volatlie Power,Aoegrinder,,Roll,709
5/16/2020,MC,Shazzrah,Giantstalker's Gloves,,T1,DE,710
5/16/2020,MC,Sulfuron,Mantle of Prophecy,Puz,T1,Loot Council,711
5/16/2020,MC,Sulfuron,Ring of Spell Power,Wasian,Big Loot,Loot Council,712
5/16/2020,MC,Golemagg,Breastplate of Might,Bwcstroker,T1,Loot Council,713
5/16/2020,MC,Golemagg,Felheart Robes,,T1,DE,714
5/16/2020,MC,Golemagg,Blastershot Launcher,Dylanger,,Roll,715
5/16/2020,MC,Majordomo,Gloves of the Hypnotic Flame,Watr,,Roll,716
5/16/2020,MC,Majordomo,Sash of Whispered Secrets,Vodkas,,Roll,717
5/16/2020,MC,Majordomo,Ancient Petrified Leaf,,,DE,718
5/16/2020,MC,Ragnaros,Nemesis Leggings,Angrysnape,T2,Roll,719
5/16/2020,MC,Ragnaros,Netherwind Pants,Aoegrinder,T2,Loot Council,720
5/16/2020,MC,Ragnaros,Crown of Destruction,,,DE,721
5/16/2020,MC,Ragnaros,Band of Accuria,Zquirlz,Big Loot,Loot Council,722
5/16/2020,MC,Trash,Nightslayer Bracelets,,,Guild Bank,723
5/16/2020,MC,Trash,Felheart Belt,,,Guild Bank,724
5/16/2020,MC,Trash,Felheart Belt,,,Guild Bank,725
5/16/2020,Onyxia,Onyxia,Bloodfang Hood,Greenbastrd,T2,Loot Council,726
5/16/2020,Onyxia,Onyxia,Bloodfang Hood,,T2,DE,727
5/16/2020,Onyxia,Onyxia,Eshkandar's Collar,,,DE,728
5/16/2020,Onyxia,Onyxia,Head of Onyxia,Mnite,,Roll,729
5/23/2020,BWL,Razorgore,Dragonstalker's Bracers,Orgeth,T2,Loot Council,730
5/23/2020,BWL,Razorgore,Bracers of Ten Storms,,T2,DE,731
5/23/2020,BWL,Razorgore,Spineshatter,Ferv,,Roll,732
5/23/2020,MC,Lucifron,Felheart Gloves,,T1,DE,733
5/23/2020,MC,Lucifron,Cenarion Boots,,T1,DE,734
5/23/2020,MC,Magmadar,Medallion of Steadfast Might,,,DE,735
5/23/2020,MC,Magmadar,Quick Strike Ring,Ppe,,Loot Council,736
5/23/2020,MC,Magmadar,Striker's Mark,Vio,,Loot Council,737
5/23/2020,MC,Gehennas,Sabatons of Might,Getlonely,T1,Roll,738
5/23/2020,MC,Gehennas,Gloves of Prophecy,,T1,DE,739
5/23/2020,MC,Garr,Felheart Horns,,T1,DE,740
5/23/2020,MC,Garr,Brutality Blade,Greenbastrd,,Roll,741
5/23/2020,MC,Garr,Drillborer Disk,Getlonely,,Roll,742
5/23/2020,MC,Baron Geddon,Arcanist Mantle,Carstiendook,T1,Loot Council,743
5/23/2020,MC,Baron Geddon,Flameguard Gauntlets,Vaeviktis,,Loot Council,744
5/23/2020,MC,Shazzrah,Felheart Slippers,,T1,DE,745
5/23/2020,MC,Shazzrah,Cenarion Gloves,,T1,DE,746
5/23/2020,MC,Sulfuron,Pauldrons of Might,Bwcstroker,T1,Roll,747
5/23/2020,MC,Sulfuron,Shadowstrike,,,DE,748
5/23/2020,MC,Golemagg,Nightslayer Chestpiece,,T1,DE,749
5/23/2020,MC,Golemagg,Cenarion Vestments,,T1,DE,750
5/23/2020,MC,Golemagg,Aged Core Leather Gloves,Bwcstroker,,Roll,751
5/23/2020,MC,Majordomo,Wristguards of True Flight,Getlonely,,Roll,752
5/23/2020,MC,Majordomo,Core Hound Tooth,Zquirlz,,Loot Council,753
5/23/2020,MC,Majordomo,The Eye of Divinity,,,DE,754
5/23/2020,MC,Ragnaros,Nemesis Leggings,,T2,DE,755
5/23/2020,MC,Ragnaros,Netherwind Pants,Carstiendook,T2,Loot Council,756
5/23/2020,MC,Ragnaros,Cloak of the Shrouded Mists,Tombrocow,,Roll,757
5/23/2020,MC,Ragnaros,Perdition's Blade,Sambro,Big Loot,Loot Council,758
5/23/2020,MC,Trash,Belt of Might,,,Guild Bank,759
5/24/2020,BWL,Vaelastraz,Dragonstalker's Belt,Orgeth,T2,Loot Council,760
5/24/2020,BWL,Vaelastraz,Nemesis Belt,Bankky,T2,Loot Council,761
5/24/2020,BWL,Vaelastraz,Helm of Endless Rage,Ppe,,Roll,762
5/24/2020,BWL,Broodlord,Stormrage Boots,,T2,DE,763
5/24/2020,BWL,Broodlord,Greaves of Ten Storms,Nidria,T2,Loot Council,764
5/24/2020,BWL,Broodlord,Bracers of Arcane Accuracy,Theymademedo,Big Loot,Loot Council,765
5/24/2020,BWL,Firemaw,Taut Dragonhide Belt,Tombrocow,,Loot Council,766
5/24/2020,BWL,Firemaw,Cloak of Firemaw,Greenbastrd,,Loot Council,767
5/24/2020,BWL,Ebonroc,Handguards of Transcendence,Stokington,T2,Loot Council,768
5/24/2020,BWL,Ebonroc,Band of Forced Concentration,Blaw,Big Loot,Loot Council,769
5/24/2020,BWL,Flamegor,Circle of Applied Force,Sambro,,Loot Council,770
5/24/2020,BWL,Flamegor,Rejuvenating Gem,Nidria,Big Loot,Loot Council,771
5/24/2020,BWL,Chromaggus,Netherwind Mantle,Wasian,T2,Roll,772
5/24/2020,BWL,Chromaggus,Nemesis Spaulders,Angrysnape,T2,Loot Council,773
5/24/2020,BWL,Chromaggus,Elementium Threaded Cloak,,,DE,774
5/24/2020,BWL,Chromaggus,Chromatic Boots,Getlonely,Big Loot,Loot Council,775
5/24/2020,BWL,Nefarian,Dragonstalker's Breastplate,Orgeth,T2,Loot Council,776
5/24/2020,BWL,Nefarian,Stormrage Chestguard,,T2,DE,777
5/24/2020,BWL,Nefarian,Therazane's Link,,,DE,778
5/24/2020,BWL,Nefarian,Cloak of the Brood Lord,Scartissue,,Loot Council,779
5/24/2020,BWL,Nefarian,Head of Nefarian,Orgeth,,Loot Council,780
5/24/2020,BWL,Trash,Cloak of Draconic Might,Sambro,Big Loot,Loot Council,781
